Key,Neighbors,Metric,Value,Algorithm
574,85,MAE,0.723586679,SRA
575,85,RMSE,0.920852339,SRA
576,85,HLU,1.490509351,SRA
578,85,SortingAccuracy,0.568494566,SRA
582,85,F1,0.7155593,SRA
585,90,Degree Diversity,0.668792804,Actual Diversity
586,90,Degree Diversity,0.626657832,SRA
587,90,MAE,0.723512483,SRA
588,90,RMSE,0.920785689,SRA
589,90,HLU,1.493151845,SRA
591,90,SortingAccuracy,0.56854622,SRA
595,90,F1,0.715711189,SRA
598,95,Degree Diversity,0.668792804,Actual Diversity
599,95,Degree Diversity,0.626791835,SRA
600,95,MAE,0.723465157,SRA
601,95,RMSE,0.920739448,SRA
602,95,HLU,1.496184525,SRA
604,95,SortingAccuracy,0.568567551,SRA
608,95,F1,0.715615156,SRA
611,100,Degree Diversity,0.668792804,Actual Diversity
612,100,Degree Diversity,0.626175547,SRA
613,100,MAE,0.723456848,SRA
614,100,RMSE,0.92072612,SRA
615,100,HLU,1.497993479,SRA
617,100,SortingAccuracy,0.569126747,SRA
621,100,F1,0.71585579,SRA
624,105,Degree Diversity,0.668792804,Actual Diversity
625,105,Degree Diversity,0.626192541,SRA
626,105,MAE,0.723441172,SRA
627,105,RMSE,0.920722091,SRA
628,105,HLU,1.49863167,SRA
630,105,SortingAccuracy,0.569188913,SRA
634,105,F1,0.715821269,SRA
637,110,Degree Diversity,0.668792804,Actual Diversity
638,110,Degree Diversity,0.626054565,SRA
639,110,MAE,0.723444152,SRA
640,110,RMSE,0.920735061,SRA
641,110,HLU,1.499194721,SRA
643,110,SortingAccuracy,0.569370321,SRA
647,110,F1,0.715862483,SRA
650,115,Degree Diversity,0.668792804,Actual Diversity
651,115,Degree Diversity,0.625756373,SRA
652,115,MAE,0.723454773,SRA
653,115,RMSE,0.920748889,SRA
654,115,HLU,1.499588814,SRA
656,115,SortingAccuracy,0.569617691,SRA
660,115,F1,0.716018749,SRA
663,120,Degree Diversity,0.668792804,Actual Diversity
664,120,Degree Diversity,0.625480251,SRA
665,120,MAE,0.723477173,SRA
666,120,RMSE,0.920786452,SRA
667,120,HLU,1.500718712,SRA
669,120,SortingAccuracy,0.569924752,SRA
673,120,F1,0.716116986,SRA
676,125,Degree Diversity,0.668792804,Actual Diversity
677,125,Degree Diversity,0.625311346,SRA
678,125,MAE,0.723509574,SRA
679,125,RMSE,0.920821857,SRA
680,125,HLU,1.500610023,SRA
682,125,SortingAccuracy,0.570134665,SRA
686,125,F1,0.716114868,SRA
689,130,Degree Diversity,0.668792804,Actual Diversity
690,130,Degree Diversity,0.625552959,SRA
691,130,MAE,0.723535681,SRA
692,130,RMSE,0.920866764,SRA
693,130,HLU,1.502026869,SRA
695,130,SortingAccuracy,0.570032206,SRA
699,130,F1,0.716172526,SRA
702,135,Degree Diversity,0.668792804,Actual Diversity
703,135,Degree Diversity,0.625371928,SRA
704,135,MAE,0.723592699,SRA
705,135,RMSE,0.920939982,SRA
706,135,HLU,1.504355062,SRA
708,135,SortingAccuracy,0.570249656,SRA
712,135,F1,0.71617712,SRA
715,140,Degree Diversity,0.668792804,Actual Diversity
716,140,Degree Diversity,0.625449058,SRA
717,140,MAE,0.72364006,SRA
718,140,RMSE,0.921010709,SRA
719,140,HLU,1.503450549,SRA
